"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Jesús David Murillo","LAFC",2022,"CB",2586,0.14,0.23,0.78,-0.26,-0.05,0.06,0.9,450000,509500,0.726727209026572
"Leonardo Campana","MIA",2022,"ST",1732,-0.2,-0.22,-0.17,0.31,0.99,0.19,0.9,84000,135680,0.726727209026572
"Adam Buksa","NER",2022,"ST",888,-0.48,-0.14,-0.18,0.21,1.03,0.46,0.9,1e+06,1106250,0.726727209026572
"Keaton Parks","NYC",2022,"DM",1187,0.08,0.25,-0.48,0.63,0.25,0.15,0.89,5e+05,5e+05,0.725911632295048
"Erik Thommy","SKC",2022,"CM",948,0.65,0.6,-0.24,-0.48,-0.21,0.57,0.89,1.2e+06,1306250,0.725911632295048
"Roger Espinoza","SKC",2022,"CM",2013,0.05,-0.13,0.1,0.2,0.43,0.24,0.89,3e+05,3e+05,0.725911632295048
"Adilson Malanda","CLT",2022,"CB",595,0.09,0.02,0.57,0.15,0.02,0.03,0.89,250000,278083,0.725911632295048
"Taxiarchis Fountas","DCU",2022,"AM",1613,-0.47,0.14,-0.23,-0.44,0.78,1.09,0.85,1.6e+06,1641000,0.722633922533812
"Gareth Bale","LAFC",2022,"W",425,0.4,-0.02,0.07,0.31,-0.02,0.09,0.84,1.6e+06,2386670,0.721810615212547
"Brian Rodríguez","LAFC",2022,"W",895,0.31,-0.04,-0.11,0.07,0.29,0.29,0.83,805000,1144800,0.720985744153739
"Andrew Brody","RSL",2022,"FB",3229,0.52,0.2,-0.2,-0.07,0.3,0.07,0.83,190000,215678,0.720985744153739
"Tommy Thompson","SJE",2022,"FB",1457,0.68,0.18,0.61,-1.08,0.2,0.23,0.82,280000,280000,0.720159303405957
"Alejandro Pozuelo","TOR, MIA",2022,"AM",2651,-0.12,0.2,0.46,1.52,-0.73,-0.53,0.8,3.8e+06,4693000,0.718501688867274
"Cristian Cásseres Jr","NYRB",2022,"CM",2446,0.27,-0.02,0.6,-0.09,-0.17,0.2,0.79,230000,274000,0.717670503002262
"Marvin Loría","POR",2022,"W",949,0.66,0.44,0.05,-0.11,-0.3,0.03,0.78,125000,164375,0.716837723299524
"Christian Fuchs","CLT",2022,"FB",2143,-0.23,0.11,-0.09,1.25,-0.22,-0.04,0.77,375000,375000,0.716003343634799
"Gabriel Pereira","NYC",2022,"W",1486,0.05,0.15,-0.04,0.35,-0.01,0.26,0.76,555000,624500,0.715167357848458
"D.J. Taylor","MIN",2022,"FB",2275,-0.03,-0.17,0.95,0.3,-0.22,-0.06,0.76,85444,85444,0.715167357848458
"Haris Medunjanin","CIN",2022,"CM",561,-0.04,-0.05,0.27,0.86,-0.16,-0.11,0.76,225000,248750,0.715167357848458
"Adalberto Carrasquilla","HOU",2022,"DM",2659,0.73,-0.18,0.45,0.35,-0.56,-0.05,0.73,418908,469132,0.712649701627211
"Sergio Santos","CIN, PHI",2022,"ST",842,-0.64,0.3,0.07,0.29,0.96,-0.25,0.73,850000,918500,0.712649701627211
"Justen Glad","RSL",2022,"CB",2525,0.1,0,-0.6,0.32,0.67,0.24,0.73,675000,735031,0.712649701627211
"Ariel Lassiter","MIA",2022,"W",1790,0.31,0.38,-0.31,-0.3,0.34,0.31,0.73,210000,230280,0.712649701627211
"Sergio Córdova","RSL",2022,"ST",2458,0.72,0.03,0.19,0,-0.22,0,0.72,6e+05,696000,0.711807229041191
"Dom Dwyer","ATL",2022,"ST",729,-0.32,-0.07,-0.14,-0.13,1.2,0.18,0.72,84000,84000,0.711807229041191
"Djordje Mihailovic","MTL",2022,"CM",2193,-0.68,0.26,-0.38,0.03,1.16,0.32,0.71,7e+05,751875,0.710963118995276
"Ranko Veselinovic","VAN",2022,"CB",3010,0,-0.19,1.94,-0.72,-0.28,-0.06,0.7,405000,490500,0.710117365111816
"Nathan Harriel","PHI",2022,"FB",1965,-0.25,0.05,0.46,0.08,0.25,0.1,0.7,9e+04,107500,0.710117365111816
"Andrew Farrell","NER",2022,"CB",3028,-0.21,-0.71,1.36,1.08,-0.58,-0.25,0.69,425000,443750,0.709269960975831
"Shaquell Moore","NSH",2022,"FB",972,0.12,-0.17,0.7,-0.13,0.02,0.15,0.69,7e+05,779400,0.709269960975831
"Richie Laryea","TOR",2022,"FB",940,0.26,0.4,0.17,-0.12,0.05,-0.07,0.68,1170400,1276740,0.708420900134713
"Boris Sekulic","CHI",2022,"FB",3090,0.2,0.41,0.08,0.31,-0.29,-0.01,0.68,596000,668900,0.708420900134713
"Rudy Camacho","MTL",2022,"CB",2746,0.51,-0.08,-0.32,0.79,-0.13,-0.09,0.68,5e+05,554000,0.708420900134713
"DeJuan Jones","NER",2022,"FB",2984,0.1,0.31,0.31,-0.5,0.39,0.06,0.67,350000,370000,0.707570176097936
"Jack McGlynn","PHI",2022,"CM",1145,0.16,0.01,-0.14,0.99,-0.39,0.05,0.67,77500,91400,0.707570176097936
"Giorgio Chiellini","LAFC",2022,"CB",787,0.07,0.04,0.33,0.4,-0.15,-0.04,0.64,1e+06,1075000,0.705007959333336
"Sebastián Driussi","ATX",2022,"AM",3175,-0.71,0.16,0.11,-1.14,1.42,0.79,0.64,2.2e+06,2317000,0.705007959333336
"Gustavo Bou","NER",2022,"ST",1740,0.37,0.09,0.02,-0.85,0.46,0.54,0.62,2.5e+06,2675000,0.703291378118661
"Fafa Picault","HOU",2022,"W",2604,0.18,0.38,0.28,-1.17,0.89,0.07,0.62,6e+05,6e+05,0.703291378118661
"Christian Benteke","DCU",2022,"ST",605,-0.48,0.16,-0.1,-0.08,0.97,0.13,0.61,4e+06,4182780,0.702430536445525
"Jakob Glesnes","PHI",2022,"CB",3394,0.41,0.14,0.71,-0.2,-0.43,-0.02,0.6,675000,739063,0.701567985055927
"Antônio Carlos","ORL",2022,"CB",1804,0.33,0.1,0.15,0.11,-0.2,0.1,0.59,9e+05,925000,0.700703717145019
"Álvaro Barreal","CIN",2022,"FB",2406,-0.19,0.25,0.1,0.23,-0.24,0.43,0.58,350000,350000,0.699837725867246
"Nick Hagglund","CIN",2022,"CB",2968,0.16,-0.08,0.03,0.25,0.17,0.03,0.57,84000,84000,0.698970004336019
"Alvas Powell","CIN",2022,"FB",2094,0.49,0.32,0.04,-0.46,-0.01,0.18,0.57,150000,167000,0.698970004336019
